Name, Org Name, Total Networks Searched, Total Devices Searched, Time Frame, License Plate, Reason, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
Kevin Burch,Champaign IL PD,3,81,"08/27/2025, 11:35:19 AM UTC
09/03/2025, 12:02:07 AM UTC",Y828415,Other image search from alerts page associated with Alert: Hit and Run-Impound Y828415 - 2025-09-02T07:10:27.686Z,,,"09/02/2025, 07:10:29 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20917,"08/26/2025, 05:00:00 PM UTC
08/27/2025, 12:00:00 PM UTC",FA71273,C25-29891,,,"09/02/2025, 10:56:31 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20917,"07/01/2025, 05:00:00 PM UTC
09/02/2025, 12:00:00 PM UTC",FA71273,C25-29891,,,"09/02/2025, 10:58:51 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,3,81,"07/01/2025, 05:00:00 PM UTC
09/02/2025, 12:00:00 PM UTC",FA71273,C25-29891,,,"09/02/2025, 11:00:03 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,3,81,"07/01/2025, 05:00:00 PM UTC
09/02/2025, 12:00:00 PM UTC",FA71273,C25-29891,,,"09/02/2025, 11:00:29 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,1457,20917,"08/26/2025, 05:00:00 PM UTC
08/27/2025, 12:00:00 PM UTC",FA71273,C25-29891,,,"09/02/2025, 11:02:59 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,3,81,"08/26/2025, 09:00:00 PM UTC
08/26/2025, 11:00:00 PM UTC",,C25-29891,,Nissan,"09/02/2025, 11:45:21 AM UTC",search,,
Lauren Hill,Champaign IL PD,1,2,"08/26/2025, 09:00:00 PM UTC
08/26/2025, 11:00:00 PM UTC",,C25-29891,,Nissan,"09/02/2025, 11:46:11 AM UTC",search,,
Lauren Hill,Champaign IL PD,1,2,"08/26/2025, 09:00:00 PM UTC
08/26/2025, 11:00:00 PM UTC",,C25-29891,,,"09/02/2025, 11:47:03 AM UTC",search,,
Lauren Hill,Champaign IL PD,1,2,"08/26/2025, 09:00:00 PM UTC
08/26/2025, 11:00:00 PM UTC",,C25-29891,,,"09/02/2025, 11:47:30 AM UTC",search,,
Lauren Hill,Champaign IL PD,1,2,"08/26/2025, 10:19:00 PM UTC
08/26/2025, 10:23:00 PM UTC",,C25-29891,,,"09/02/2025, 12:12:22 PM UTC",search,,
Lauren Hill,Champaign IL PD,1457,20917,"08/05/2025, 11:00:00 AM UTC
09/02/2025, 01:00:00 PM UTC",,C25-29891,,,"09/02/2025, 12:41:56 PM UTC",search,,
Lauren Hill,Champaign IL PD,1457,20917,"08/05/2025, 11:00:00 AM UTC
09/02/2025, 01:00:00 PM UTC",EY57600,C25-29891,,,"09/02/2025, 12:42:13 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1457,20917,"08/26/2025, 12:42:50 PM UTC
09/02/2025, 12:42:50 PM UTC",EY57600,C25-29891,,,"09/02/2025, 12:42:51 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1457,20917,"08/26/2025, 12:43:27 PM UTC
09/02/2025, 12:43:27 PM UTC",EY57600,C25-29891,,,"09/02/2025, 12:43:29 PM UTC",lookup,,
Dillon Holloway,Champaign IL PD,3,81,"09/03/2025, 08:00:02 PM UTC
09/03/2025, 10:00:02 PM UTC",,stolen money,,Ford,"09/03/2025, 09:37:58 PM UTC",search,,
Dillon Holloway,Champaign IL PD,3,81,"09/02/2025, 10:00:23 PM UTC
09/03/2025, 10:00:23 PM UTC",,stolen money,,Fordillinois,"09/03/2025, 09:39:25 PM UTC",search,,
Dillon Holloway,Champaign IL PD,3,81,"09/01/2025, 10:00:12 PM UTC
09/03/2025, 10:00:12 PM UTC",,stolen money,,Fordillinois,"09/03/2025, 09:40:14 PM UTC",search,,
Dillon Holloway,Champaign IL PD,3,81,"09/01/2025, 10:00:12 PM UTC
09/03/2025, 10:00:12 PM UTC",,stolen money,,Fordillinois,"09/03/2025, 09:44:35 PM UTC",search,,
Amanda Reifsteck,Champaign IL PD,3,81,"08/22/2025, 05:30:00 PM UTC
08/22/2025, 11:00:00 PM UTC",,Forgery,Forgery from 8/22,SUVChevroletblack,"09/03/2025, 09:46:57 PM UTC",search,,
Austin Hazelwood,Champaign IL PD,3,81,"09/03/2025, 06:00:55 PM UTC
09/03/2025, 08:00:55 PM UTC",,crim damg,,,"09/03/2025, 10:01:58 PM UTC",search,,
