Name, Org Name, Total Networks Searched, Total Devices Searched, Time Frame, License Plate, Reason, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
Christian Borth,Champaign IL PD,1463,20589,"07/21/2025, 01:30:46 PM UTC
08/04/2025, 01:30:46 PM UTC",FC40938,hit and run,c25-26101,,"08/04/2025, 01:00:58 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/03/2025, 09:00:17 PM UTC
08/04/2025, 09:00:17 PM UTC",EY65862,check welfare,c25-26933,,"08/04/2025, 08:57:18 PM UTC",lookup,,
Christian Borth,Champaign IL PD,1463,20597,"08/03/2025, 09:00:17 PM UTC
08/04/2025, 09:00:17 PM UTC",EY65862,check welfare,c25-26933,,"08/04/2025, 08:57:35 PM UTC",lookup,,
Tim Frye,Champaign IL PD,1463,20589,"07/28/2025, 04:19:28 PM UTC
08/04/2025, 04:19:28 PM UTC",FC40938,C25-26101,,,"08/04/2025, 04:19:30 PM UTC",lookup,,
Christopher Aikman,Champaign IL PD,4,81,"07/28/2025, 04:30:52 PM UTC
08/04/2025, 04:30:52 PM UTC",1774586,C25-23298,,,"08/04/2025, 04:28:55 PM UTC",lookup,,
Robert Sumption,Champaign IL PD,4,81,"08/04/2025, 12:00:00 PM UTC
08/05/2025, 02:00:00 PM UTC",EQ65399,Fugitive Investigation (Orlando Dorsey),,illinois,"08/05/2025, 01:58:07 PM UTC",lookup,,
Austin Massey,Champaign IL PD,4,81,"08/05/2025, 05:00:41 PM UTC
08/05/2025, 07:00:41 PM UTC",,retail theft,,Chryslerblue,"08/05/2025, 06:58:04 PM UTC",search,,
Tavion Whitaker,Champaign IL PD,4,81,"08/05/2025, 05:30:12 PM UTC
08/05/2025, 07:30:12 PM UTC",,shoplifter,,"Sedan, Coupe, Convertible, Hatchback, WagonChryslerblue","08/05/2025, 07:02:55 PM UTC",search,,
Christopher Aikman,Champaign IL PD,1,63,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:45:00 PM UTC",,Oct-37,,,"08/05/2025, 02:22:13 PM UTC",search,,
Christopher Aikman,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:45:00 PM UTC",,Oct-37,,,"08/05/2025, 02:23:22 PM UTC",search,,
Christopher Aikman,Champaign IL PD,1,1,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:45:00 PM UTC",,Oct-37,,"Sedansilver_grey, brown","08/05/2025, 02:25:31 PM UTC",search,,
Christopher Aikman,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:45:00 PM UTC",,Oct-37,,"Sedansilver_grey, brown","08/05/2025, 02:25:49 PM UTC",search,,
Christopher Aikman,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,Oct-37,,"Sedansilver_grey, brown","08/05/2025, 02:27:11 PM UTC",search,,
Lance Carpenter,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF55315,C25-26264,,,"08/06/2025, 01:30:51 PM UTC",lookup,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-27077,,,"08/06/2025, 04:22:11 AM UTC",search,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-27077,,,"08/06/2025, 04:23:03 AM UTC",search,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-27077,,,"08/06/2025, 04:23:12 AM UTC",search,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",SB85,C25-27077,,,"08/06/2025, 04:23:45 AM UTC",lookup,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-27077,,Infinitisilver_grey,"08/06/2025, 04:24:30 AM UTC",search,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FB82522,C25-27077,,Infinitisilver_grey,"08/06/2025, 04:26:23 AM UTC",lookup,,
Rick Longstreth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FB82522,C25-27077,,,"08/06/2025, 04:26:30 AM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:34:39 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:36:12 PM UTC",lookup,,
Jesse Brockwell,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,Oct-32,,illinois,"08/05/2025, 11:36:22 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:40:02 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:44:09 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:46:44 PM UTC",lookup,,
Jesse Brockwell,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,Oct-32,,illinois,"08/05/2025, 11:46:59 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:48:11 PM UTC",lookup,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,road rage,,,"08/05/2025, 11:52:55 PM UTC",lookup,,
Matthew Locklear,Champaign IL PD,1463,20622,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",15391AA,armed subject,c23-27055,,"08/05/2025, 11:55:24 PM UTC",lookup,,
